id,Country,2009,2010,2011,2012
0,World Total,-0.233953466,0.190896248,0.113533854,0.066509307
4,Afghanistan,-0.774340386,12.38600423,-0.9644289,0
8,Albania,0,-0.5839202,63.40535373,-0.644727467
12,Algeria,0,0,0,6.640376118
20,Andorra,-0.028350515,350.9124668,-0.701464525,0
24,Angola,0,0,0,0
28,Antigua and Barbuda,0,0,-0.475,0
31,Azerbaijan,0,0,0,-0.866818192
32,Argentina,-0.363592659,-0.159557109,0.227907042,-0.116916153
36,Australia,-0.045115684,0.984060444,-0.344483524,-0.068719545
40,Austria,-0.362768173,0.170995723,0.317509365,0.054298703
44,Bahamas,-0.992833736,10.09181818,1.985738874,-0.787751517
48,Bahrain,-0.478784625,-0.928176353,29.96839162,-0.275582231
50,Bangladesh,0.02688903,0.058980236,0.371754414,0.145658321
51,Armenia,-0.688013655,-0.444827363,1.198603298,0.0285641
52,Barbados,0.46263911,0.222735507,0.031217127,1.119292549
56,Belgium,0.057985971,-0.359659166,-0.041072263,-0.035133489
60,Bermuda,0.040346074,-0.649753635,3.103022921,0.014145519
64,Bhutan,0,0,0,0
68,Bolivia,6.000938086,-0.53477154,-0.381077189,11.91511936
70,Bosnia and Herzegovina,-0.656709126,-0.066046089,0.638097744,-0.158144482
72,Botswana,0,0,0,0
76,Brazil,-0.566689552,0.125233375,0.23211153,0.029028167
84,Belize,0,0,-0.267345593,4.4479
86,British Indian Ocean Territories,0,0,0,0
90,Solomon Islands,0,0,0,0
92,British Virgin Islands,0,-0.890478003,34.96544191,-0.76265697
96,Brunei,-0.49334789,-0.992067423,0,0
100,Bulgaria,-0.481900308,-0.110095548,0.695058891,0.326660306
104,Burma,0,0,0,0
108,Burundi,0,0,0,0
112,Belarus,-0.329590903,1.260191449,-0.394714143,0.455053298
116,Cambodia,0.222223489,0.832507494,0.391740257,0.174700079
120,Cameroon,-0.037372537,-0.972055421,5.551162791,0.446964856
124,Canada,-0.339380944,0.175133945,0.046136077,0.090729563
132,Cape Verde,-0.948921261,20.37184116,0,0
136,Cayman Islands,-0.501408124,-0.968852421,1.63619403,3.793347488
140,Central African Republic,0,0,0,0
144,Sri Lanka,0.037851549,0.137015021,0.288456371,-0.037132919
148,Chad,0,0,0,0
152,Chile,0.170519346,-0.263394808,0.440145733,0.06907844
156,China,-0.121208425,0.200438604,0.126023581,0.072977182
158,Taiwan,-0.317652361,0.280904254,0.134885598,-0.005241058
162,Christmas Island,0,0,0,0
166,Cocos (Keeling) Islands,32.94495413,0,0,0
170,Colombia,0.176556556,0.768074731,-0.218907132,0.143460302
174,Comoros,0,0,0,0
175,Mayotte,0,0,0,0
178,Congo (Brazzaville),0,1.692166238,0,0
180,Congo (Kinshasa),0,0,0,0
184,Cook Islands,0,0,0,0
188,Costa Rica,0.532415267,1.136595531,0.020220033,-0.178752904
191,Croatia,-0.183361312,0.509188305,-0.011370755,-0.067692374
192,Cuba,0,0,0,0
196,Cyprus,0,-0.774540346,1.288268762,3.118162444
203,Czech Republic,-0.353012234,0.463374647,0.550419677,0.000644363
204,Benin,0,0,0.357142857,0
208,Denmark,-0.103116177,0.110375784,0.207525589,-0.012650823
212,Dominica,0,0,0,5.227454465
214,Dominican Republic,3.31304138,-0.559469791,0.204044692,0.011043761
218,Ecuador,21.73215992,-0.773649448,0.382009,0.222124462
222,El Salvador,-0.40378245,-0.331556051,0.350433569,-0.106184894
226,Equatorial Guinea,0,0,0,0
231,Ethiopia,0.400827747,2.443990606,-0.403742468,0.265684586
232,Eritrea,0,0,0,0
233,Estonia,-0.524698028,1.368822706,1.201559069,0.146734662
234,Faroe Islands,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,0,0,0
242,Fiji,-0.423111989,0,0,-0.707223903
246,Finland,-0.397284652,0.406255617,0.223729793,0.005674054
250,France,-0.345832624,0.011832313,0.183174242,-0.078114803
254,French Guiana,0,0,0,0
258,French Polynesia,-0.780486301,0,0,0
260,French Southern and Antarctic Lands,0,0,0,0
262,Djibouti,0,0,0,0
266,Gabon,0,6.037755102,0.317674351,0.200117371
268,Georgia,-0.76857327,2.506015952,-0.485702167,-0.254359789
270,Gambia,0,0,0,0
276,Germany,-0.299586066,0.063386679,0.255623941,0.14841625
288,Ghana,0.220680296,0.098385773,6.985356244,1.226577601
292,Gibraltar,-0.757916576,0,0,0
296,Kiribati,0,0,0,0
300,Greece,-0.676717956,0.585889546,-0.052208818,0.341144624
304,Greenland,0,0,0,0
308,Grenada,-0.558103245,3.216488902,1.092055787,-0.48521266
312,Guadeloupe,0,0,0,-0.91642361
320,Guatemala,-0.143165872,0.058176466,0.15784626,-0.157037498
324,Guinea,0,-0.524930023,-0.712492815,3.010496501
328,Guyana,-0.642052762,10.4139865,-0.102737149,-0.927000616
332,Haiti,0,178.8285102,1.530396948,0.15463903
334,Heard and McDonald Islands,0,0,0,0
336,Vatican City,0,0,0,0
340,Honduras,-0.037054473,0.017671769,0.092491403,0.323160796
344,Hong Kong,-0.608580291,0.379873213,-0.035231361,-0.170591709
348,Hungary,-0.246352761,0.220803849,0.525739366,-0.25327824
352,Iceland,-0.537786983,-0.524888008,-0.178724003,-0.371570377
356,India,-0.143850594,0.297117468,0.171397503,0.262986378
360,Indonesia,0.203672065,0.328970489,0.189557482,0.098125694
364,Iran,0.081112817,0.185721752,0,0
368,Iraq,0,0,0,0
372,Ireland,-0.304679173,-0.122115827,0.120690287,-0.06225252
376,Israel,0.726898091,-0.08188446,-0.386174698,0.283682582
